submission_id,response_id,issue_type,issue_label,action
SUB-0304,SYN-0304,missing_required,Missing required value,Retain flag; exclude missing value from its denominator
SUB-DUP-006,SYN-0305,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
SUB-0183,SYN-0183,date_consistency,Date inconsistency,Retain flag; exclude inconsistent date from date-specific interpretation
SUB-0317,SYN-0317,out_of_range,Value outside allowed range,Set out-of-range numeric value to missing in the analysis copy
SUB-0178,SYN-0178,skip_logic,Skip-logic violation,Retain raw values and exclude inapplicable answer from interpretation
SUB-0135,SYN-0135,skip_logic,Skip-logic violation,Retain raw values and exclude inapplicable answer from interpretation
SUB-0073,SYN-0073,date_consistency,Date inconsistency,Retain flag; exclude inconsistent date from date-specific interpretation
SUB-0144,SYN-0144,missing_required,Missing required value,Retain flag; exclude missing value from its denominator
SUB-0289,SYN-0289,missing_required,Missing required value,Retain flag; exclude missing value from its denominator
SUB-0381,SYN-0381,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
SUB-0305,SYN-0305,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
SUB-0298,SYN-0298,missing_required,Missing required value,Retain flag; exclude missing value from its denominator
SUB-0192,SYN-0192,invalid_code,Invalid code,Set invalid coded value to missing in the analysis copy
SUB-0192,SYN-0192,region_site_consistency,Region/site inconsistency,Retain both raw codes and flag for source review
SUB-0239,SYN-0239,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
SUB-0233,SYN-0233,date_consistency,Date inconsistency,Retain flag; exclude inconsistent date from date-specific interpretation
SUB-0128,SYN-0128,missing_required,Missing required value,Retain flag; exclude missing value from its denominator
SUB-0066,SYN-0066,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
SUB-DUP-009,SYN-0398,duplicate_response_id,Duplicate response identifier,Keep the first submission by identifier; exclude later copy from analysis
